run_accession	sample_title
ERR1073455	10317.000002020
ERR1073456	10317.000002027
ERR1073457	10317.000002028
ERR1073458	10317.000002030
ERR1073459	10317.000002051
ERR1073460	10317.000002052
ERR1073461	10317.000002081
ERR1073462	10317.000002082
ERR1073463	10317.000002088
ERR1073464	10317.000002141
ERR1073465	10317.000002142
ERR1073466	10317.000002160
ERR1073467	10317.000002161
ERR1073468	10317.000002162
ERR1073469	10317.000002172
ERR1073470	10317.000002178
ERR1073471	10317.000002212
ERR1073472	10317.000002296
ERR1073473	10317.000002303
ERR1073474	10317.000002316
ERR1073475	10317.000002320
ERR1073476	10317.000002341
ERR1073477	10317.000002342
ERR1073478	10317.000002369
ERR1073479	10317.000002370
ERR1073480	10317.000002383
ERR1073481	10317.000002388
ERR1073482	10317.000002390
ERR1073483	10317.000002395
ERR1073484	10317.000002413
ERR1073485	10317.000002438
ERR1073486	10317.000002476
ERR1073487	10317.000002504
ERR1073488	10317.000002505
ERR1073489	10317.000002581
ERR1073490	10317.000002587
ERR1073491	10317.000002588
ERR1073492	10317.000002608
ERR1073493	10317.000002610
ERR1073494	10317.000002626
ERR1073495	10317.000002641
ERR1073496	10317.000002642
ERR1073497	10317.000002650
ERR1073498	10317.000002684
ERR1073499	10317.000002688
ERR1073500	10317.000002778
ERR1073501	10317.000002794
ERR1073502	10317.000002820
ERR1073503	10317.000002854
ERR1073504	10317.000002872
ERR1073505	10317.000002940
ERR1073506	10317.000003025
ERR1073507	10317.000003029
ERR1073508	10317.000003030
ERR1073509	10317.000003031
ERR1073510	10317.000003079
ERR1073511	10317.000003080
ERR1073512	10317.000003085
ERR1073513	10317.000003087
ERR1073514	10317.000003104
ERR1073515	10317.000003105
ERR1073516	10317.000003118
ERR1073517	10317.000003166
ERR1073518	10317.000003167
ERR1073519	10317.000003176
ERR1073520	10317.000003189
ERR1073521	10317.000003223
ERR1073522	10317.000003224
ERR1073523	10317.000003298
ERR1073524	10317.000003299
ERR1073525	10317.000003316
ERR1073526	10317.000003317
ERR1073527	10317.000003320
ERR1073528	10317.000003321
ERR1073529	10317.000003332
ERR1073530	10317.000003339
ERR1073531	10317.000003367
ERR1073532	10317.000003385
ERR1073533	10317.000003421
ERR1073534	10317.000003422
ERR1073535	10317.000003441
ERR1073536	10317.000003443
ERR1073537	10317.000003535
ERR1073538	10317.000003557
ERR1073539	10317.000003601
ERR1073540	10317.000003604
ERR1073541	10317.000003638
ERR1073542	10317.000003639
ERR1073543	10317.000003652
ERR1073544	10317.000003701
ERR1073545	10317.000003702
ERR1073546	10317.000003810
ERR1073547	10317.000003811
ERR1073548	10317.000003820
ERR1073549	10317.000003950
ERR1073550	10317.000004012
ERR1073551	10317.000004061
ERR1073552	10317.000004206
ERR1073553	10317.000004236
ERR1073554	10317.000004237
ERR1073555	10317.000004238
ERR1073556	10317.000004239
ERR1073557	10317.000004603
ERR1073558	10317.000004689
ERR1073559	10317.000004846
ERR1073560	10317.000004854
ERR1073561	10317.000004855
ERR1073562	10317.000004865
ERR1073563	10317.000004873
ERR1073564	10317.000004880
ERR1073565	10317.000004924
ERR1073566	10317.000004925
ERR1073567	10317.000004953
ERR1073568	10317.000004984
ERR1073569	10317.000004986
ERR1073570	10317.000005065
ERR1073571	10317.000005066
ERR1073572	10317.000005067
ERR1073573	10317.000005069
ERR1073574	10317.000005070
ERR1073575	10317.000005071
ERR1073576	10317.000005079
ERR1073577	10317.000005081
ERR1073578	10317.000005083
ERR1073579	10317.000005084
ERR1073580	10317.000005086
ERR1073581	10317.000005088
ERR1073582	10317.000005159
ERR1073583	10317.000005160
ERR1073584	10317.000005161
ERR1073585	10317.000005162
ERR1073586	10317.000005164
ERR1073587	10317.000005165
ERR1073588	10317.000005166
ERR1073589	10317.000005167
ERR1073590	10317.000005219
ERR1073591	10317.000005220
ERR1073592	10317.000005221
ERR1073593	10317.000005222
ERR1073594	10317.000005235
ERR1073595	10317.000005236
ERR1073596	10317.000005237
ERR1073597	10317.000005260
ERR1073598	10317.000005261
ERR1073599	10317.000005262
ERR1073600	10317.000005289
ERR1073601	10317.000005290
ERR1073602	10317.000005291
ERR1073603	10317.000005292
ERR1073604	10317.000005359
ERR1073605	10317.000005361
ERR1073606	10317.000005363
ERR1073607	10317.000005419
ERR1073608	10317.000005420
ERR1073609	10317.000005421
ERR1073610	10317.000005429
ERR1073611	10317.000005430
ERR1073612	10317.000005431
ERR1073613	10317.000005432
ERR1073614	10317.000005555
ERR1073615	10317.000005556
ERR1073616	10317.000005557
ERR1073617	10317.000005558
ERR1073618	10317.000005568
ERR1073619	10317.000005569
ERR1073620	10317.000005570
ERR1073621	10317.000005572
ERR1073622	10317.000005573
ERR1073623	10317.000005574
ERR1073624	10317.000005575
ERR1073625	10317.000005578
ERR1073626	10317.000005634
ERR1073627	10317.000005635
ERR1073628	10317.000005636
ERR1073629	10317.000005637
ERR1073630	10317.000005638
ERR1073631	10317.000005644
ERR1073632	10317.000005645
ERR1073633	10317.000005646
ERR1073634	10317.000005649
ERR1073635	10317.000005650
ERR1073636	10317.000005651
ERR1073637	10317.000005652
ERR1073638	10317.000005654
ERR1073639	10317.000005656
ERR1073640	10317.000005657
ERR1073641	10317.000005658
ERR1073642	10317.000005686
ERR1073643	10317.000005807
ERR1073644	10317.000005812
ERR1073645	10317.000005813
ERR1073646	10317.000005842
ERR1073647	10317.000005889
ERR1073648	10317.000005892
ERR1073649	10317.000005901
ERR1073650	10317.000005915
